Area_sqft,Bedrooms,Bathrooms,Property_Age,Parking_Spaces,Location_Score,Price_INR
3670,1,3,13,2,10,5600066
1199,5,2,14,0,8,5386192
1639,5,2,24,2,6,4888130
690,4,2,29,1,3,2225293
2800,3,4,13,1,10,6211149
1480,1,3,6,0,5,3531304
3475,3,1,16,1,6,3719435
1684,3,4,29,0,5,3115914
3827,5,3,11,1,6,5679643
3894,4,3,19,0,8,5298491
627,2,1,3,2,7,4840447
2565,4,1,8,1,5,4184793
2316,4,1,5,1,10,6371832
1069,3,2,15,0,6,3746532
2395,4,1,24,0,4,3363541
3233,1,3,27,1,9,4054973
4363,3,1,21,0,4,3286880
4514,1,3,21,1,1,1054775
3401,2,4,20,2,7,4426006
2186,3,2,20,0,7,4519662
3509,2,4,1,1,4,4351006
654,3,4,23,2,3,3014191
3037,5,3,7,2,8,6549732
1909,4,4,10,1,5,4703893
4557,5,3,12,0,10,7468264
1284,2,1,16,1,7,3729999
3675,4,1,7,2,4,3900885
4841,3,3,20,1,4,4258083
3306,4,1,17,0,8,4732098
1037,1,2,29,2,8,3727186
2341,4,4,17,1,2,3458151
2955,1,2,13,0,2,1526981
1024,4,4,14,2,3,4699313
3450,1,1,5,0,3,2124244
4631,2,2,10,2,1,2838150
4615,5,1,12,1,3,4227900
2868,3,4,24,0,6,4450020
4347,4,3,0,2,8,6994007
4995,5,3,27,0,10,6470187
3201,3,2,5,0,6,4179020
1471,3,1,8,1,5,3712682
1666,1,1,7,0,4,2150987
3274,2,2,10,2,3,3395600
2482,2,3,21,2,4,2720532
1353,5,4,18,2,7,6123156
4646,2,2,23,2,1,1708104
4236,4,4,8,1,7,6680188
4269,2,3,16,0,1,2263776
1074,5,1,11,1,2,2925283
3761,2,3,24,0,4,2866778
1648,4,2,13,0,1,2843360
2215,1,1,14,0,9,3777823
4354,5,2,15,1,6,5032351
2991,1,2,21,0,1,791524
3160,1,3,21,1,1,1321062
3624,1,2,27,2,6,2517054
3551,3,3,19,2,4,4131231
504,3,1,0,0,4,3184043
1376,1,3,9,1,6,3352773
1491,5,1,7,2,7,5439075
4642,4,3,17,1,9,6241037
4864,4,4,27,1,10,6984158
4965,2,4,0,0,5,4607622
1135,5,2,1,2,9,7187808
2193,3,3,0,0,4,4576241
2182,1,3,0,0,10,5289635
619,2,1,8,2,2,1762948
1330,4,2,12,2,3,3997285
4175,3,3,29,1,1,2220927
1869,3,2,0,2,6,5097900
1240,1,4,12,1,6,4225138
616,4,3,19,1,1,2887349
3338,5,3,25,1,3,4070867
1650,3,2,21,2,5,4127448
2431,1,3,6,0,3,2956154
1512,5,2,1,1,10,7484531
2164,4,3,5,0,3,4283270
1581,3,1,6,0,10,5862942
1012,5,2,25,2,3,3508011
3349,5,3,13,0,5,5600643
1059,5,4,25,0,5,4307227
4172,3,3,17,2,4,4105723
3843,3,4,14,1,1,3068980
4570,2,4,1,0,5,4469314
1970,4,1,9,2,10,6521781
1080,1,2,22,0,5,2593675
2794,5,3,11,0,4,4678689
3647,2,1,16,1,6,3400095
4749,1,3,7,0,10,5399593
2179,2,4,10,2,4,4259102
4006,3,2,28,0,7,4329976
3244,5,3,2,1,7,6887392
3856,1,3,26,1,2,1750407
4545,1,4,5,2,3,3399614
1743,1,3,8,1,1,1873645
3618,1,3,5,0,8,4810709
2641,1,4,8,1,9,5074504
3559,2,1,6,2,4,3851300
3459,5,4,8,1,6,6164019
2765,3,1,17,1,9,4872877
2979,3,2,11,1,6,4667218
2135,3,1,7,2,9,5771071
2257,3,1,7,1,4,3395066
4952,2,2,17,1,8,5116043
2570,4,1,27,0,9,5042793
3349,5,4,29,2,4,4569096
3751,1,1,19,1,5,2111152
4230,4,2,29,2,8,4964540
2989,3,4,14,1,10,6363428
2131,4,2,26,1,6,4117272
3316,5,2,6,1,7,6579426
1515,1,3,10,0,3,2008527
1848,1,3,19,0,7,3045629
3587,5,2,15,0,8,6272282
3339,5,2,3,2,10,8120487
835,3,2,5,2,6,4961604
1395,1,3,25,0,10,4536075
4046,4,3,21,2,9,6718007
1351,2,1,25,1,6,2514536
2187,2,1,2,1,9,5686740
2431,5,2,8,1,4,4902724
4246,3,4,27,0,8,5138053
2927,2,4,9,2,4,4168584
2068,1,3,13,0,2,1709085
4500,5,3,10,2,10,8115024
3238,4,3,17,1,9,6059261
3998,5,2,21,0,5,4309447
4413,4,4,11,2,4,5110194
1566,5,1,22,2,2,3337891
4880,5,2,11,1,1,3732107
2944,5,1,12,0,7,5735750
4607,4,1,24,0,6,3962780
3873,4,2,12,0,2,3030732
4469,5,1,18,1,8,5452936
3046,2,4,25,0,4,2432607
1253,3,1,18,1,8,4880469
2582,3,4,22,1,7,4703321
3274,3,4,13,1,5,4279434
3396,4,4,3,2,10,8209285
4685,4,3,12,0,10,6847957
1275,2,1,7,0,8,3985024
2125,3,2,28,1,9,4391535
3569,3,2,22,1,5,3895804
917,5,1,20,0,10,6004776
614,4,3,22,1,5,4102616
1116,3,3,18,0,2,2326640
4474,2,4,11,2,5,4382647
3767,2,1,17,1,3,2254412
1325,3,1,5,0,7,4044634
2016,4,2,17,1,10,6654026
3646,2,1,18,0,5,2714262
912,5,3,21,0,8,5470918
1228,2,1,4,1,1,2202440
3848,1,2,23,2,3,2058102
3308,1,4,8,0,3,2991276
1175,4,2,26,0,9,5087495
3965,3,2,2,0,5,4449666
3004,4,4,27,2,9,6465661
3467,4,2,9,2,9,6671882
3286,4,2,18,1,1,2871066
1622,4,1,2,2,2,3702204
4579,5,1,28,1,5,4626502
2071,5,4,28,1,4,4163445
2643,2,1,21,2,10,5175300
2187,1,1,14,1,9,3854952
4632,4,2,0,2,7,6817543
4351,2,3,6,1,6,5069587
3940,1,1,11,2,7,3955298
4266,3,3,16,2,1,2980571
2826,5,1,29,1,1,2555655
3414,1,1,20,0,8,3512247
4452,3,4,25,1,2,2675660
1095,1,4,28,2,10,5042044
1228,5,4,23,0,9,6298204
1865,5,3,19,1,7,5376996
4992,2,2,4,1,6,4298959
1198,4,1,3,1,1,2809408
895,1,1,27,0,1,-285276
4671,1,1,11,2,2,2229969
4860,3,3,29,1,6,4606102
3002,5,4,19,1,6,5964891
2319,1,2,27,1,2,1186961
1217,5,3,23,1,1,3363820
3282,1,4,17,1,10,5374439
4077,2,3,16,2,5,3865200
643,4,2,18,2,5,4411202
3640,1,4,8,1,2,2884141
4991,5,3,3,0,6,6221326
3438,2,2,25,2,9,4446525
4136,1,1,20,0,2,763212
3722,3,2,1,2,10,7249334
1667,4,1,3,1,2,2984872
3116,1,3,1,2,3,2977182
1562,2,4,14,1,7,4254851
2656,3,4,1,2,6,5554241
3482,2,3,3,1,8,5507793
3794,2,4,5,1,8,6292353
1656,3,4,6,1,6,4736931
1232,2,1,9,1,10,4911821
4830,3,3,18,0,3,3045488
1453,1,2,18,1,3,2055286
3039,3,1,25,0,1,1101819
3824,3,3,21,0,7,4781217
3801,4,1,28,1,5,3809418
2042,3,2,11,0,4,3453870
1691,3,2,2,2,10,6113571
3493,1,3,12,1,4,2618399
3181,4,2,17,0,4,4097083
1717,5,1,7,1,6,5506744
2040,1,2,20,1,8,4133344
3736,1,1,14,1,8,4251467
2886,5,1,0,0,5,5083945
4219,3,2,2,2,6,4961658
1888,2,3,25,2,4,2526718
2356,4,4,7,0,9,6640312
1865,2,2,3,1,8,4897294
999,5,1,15,0,10,6003449
2180,1,1,29,0,10,3608174
1010,1,2,22,0,1,451052
4812,4,3,9,1,2,4399992
1824,1,3,11,0,9,5070201
1655,1,1,13,1,8,3693465
2327,4,1,13,0,3,3057066
3641,4,3,1,2,8,7052338
3986,5,4,22,0,1,3234268
2310,1,2,4,0,10,5198681
3423,1,1,4,2,4,3371829
2714,5,1,5,1,3,4246929
4686,3,3,12,1,6,5318946
1213,3,2,8,0,7,5008909
4102,3,3,29,2,4,3006440
4634,5,2,21,1,7,5211928
4022,1,2,27,0,9,3438662
4768,5,2,28,2,2,3674139
1743,5,1,14,1,3,4143818
4209,3,4,13,1,5,4667835
1581,2,3,23,2,3,2820461
955,1,4,6,2,8,5461090
1394,3,3,24,2,10,5329348
